目标转债代码,目标转债名称,logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window,n,mae,rmse,bias,within5,within10,noncap_n,noncap_mae,是否入选
111026.SH,派克转债,0.3,0.1,0.15,0,20,178,6.293486048138759,9.596480908947644,-2.2994676982934266,0.5561797752808989,0.7921348314606742,111,5.47957389352518,False
111026.SH,派克转债,0.3,0.1,0.15,0,40,178,6.290692412455961,9.638073232727226,-2.4729047152250403,0.5561797752808989,0.8033707865168539,111,5.364416744067102,False
111026.SH,派克转债,0.3,0.1,0.15,0,60,178,6.405282946665011,9.679435394254341,-2.4454984449013084,0.5561797752808989,0.8033707865168539,111,5.577514839474074,False
111026.SH,派克转债,0.3,0.1,0.2,0,0,178,6.368274156286583,9.328432393050194,-1.652397890858378,0.4606741573033708,0.8370786516853933,111,5.616800210998485,False
111026.SH,派克转债,0.3,0.1,0.2,0,20,178,6.215600334691116,9.543156149713036,-2.279845149522834,0.550561797752809,0.8033707865168539,111,5.400990835354198,False
111026.SH,派克转债,0.3,0.1,0.2,0,40,178,6.22318649563215,9.57646359144359,-2.43687911302723,0.5449438202247191,0.8033707865168539,111,5.314232292993479,False
111026.SH,派克转债,0.3,0.1,0.2,0,60,178,6.324313026417229,9.617930874197015,-2.398110540446682,0.5617977528089888,0.8089887640449438,111,5.5019704715782,False
111026.SH,派克转债,0.3,0.1,0.25,0,0,178,6.299563089823242,9.282584585054435,-1.6239010345479743,0.4943820224719101,0.848314606741573,111,5.559605603244091,False
111026.SH,派克转债,0.3,0.1,0.25,0,20,178,6.145913658762835,9.496185427366644,-2.250915840056854,0.5674157303370787,0.797752808988764,111,5.337989120704973,False
111026.SH,派克转债,0.3,0.1,0.25,0,40,178,6.163250652748919,9.53955772828846,-2.4108340343536847,0.5561797752808989,0.8089887640449438,111,5.264567490269688,False
111026.SH,派克转债,0.3,0.1,0.25,0,60,178,6.25593115884628,9.575691569389287,-2.35126187963802,0.5561797752808989,0.8146067415730337,111,5.443822631149806,False
111026.SH,派克转债,0.3,0.1,0.3,0,0,178,6.232571884056099,9.242766122588101,-1.5954041782375694,0.5,0.8426966292134831,111,5.505168970299812,False
111026.SH,派克转债,0.3,0.1,0.3,0,20,178,6.083755239844142,9.448907137023989,-2.218404813118605,0.5674157303370787,0.8089887640449438,111,5.290123325671405,False
111026.SH,派克转债,0.3,0.1,0.3,0,40,178,6.098188149892105,9.513381797049325,-2.380822028528263,0.5730337078651685,0.8089887640449438,111,5.20370595921922,False
111026.SH,派克转债,0.3,0.1,0.3,0,60,178,6.18389864199822,9.543875394407134,-2.3270643075862094,0.5730337078651685,0.8146067415730337,111,5.377682490253142,False
111026.SH,派克转债,0.3,0.1,0.35,0,0,178,6.166927052971581,9.209055215722422,-1.5669073219271528,0.5112359550561798,0.8370786516853933,111,5.4528913886484,False
111026.SH,派克转债,0.3,0.1,0.35,0,20,178,6.024757481121586,9.408298984848761,-2.1934895215240515,0.5898876404494382,0.8033707865168539,111,5.241123254283133,False
111026.SH,派克转债,0.3,0.1,0.35,0,40,178,6.03786734004342,9.512533408399314,-2.3648416814918316,0.5786516853932584,0.8202247191011236,111,5.141006735446085,False
111026.SH,派克转债,0.3,0.1,0.35,0,60,178,6.1215770942407115,9.522678420591262,-2.295214029274421,0.5842696629213483,0.8258426966292135,111,5.33167657752347,False
111026.SH,派克转债,0.3,0.1,0.4,0,0,178,6.107619980789131,9.181519138289506,-1.538410465616742,0.5112359550561798,0.8314606741573034,111,5.410777060011115,False
111026.SH,派克转债,0.3,0.1,0.4,0,20,178,5.970471497951995,9.377807175844449,-2.1687853043162506,0.5955056179775281,0.797752808988764,111,5.195372827618272,False
111026.SH,派克转债,0.3,0.1,0.4,0,40,178,5.9795209122527435,9.516211118470116,-2.349107011332337,0.5842696629213483,0.8258426966292135,111,5.0799407153500775,False
111026.SH,派克转债,0.3,0.1,0.4,0,60,178,6.053719218300887,9.501693636608017,-2.263676451742467,0.5955056179775281,0.8314606741573034,111,5.278098804111751,False
111026.SH,派克转债,0.3,0.1,0.45,0,0,178,6.052396368714341,9.16021357603187,-1.5099136093063243,0.5337078651685393,0.8258426966292135,111,5.375210982717648,False
111026.SH,派克转债,0.3,0.1,0.45,0,20,178,5.9219578428917234,9.357821676098066,-2.1451925841243145,0.601123595505618,0.797752808988764,111,5.153153429364865,False
111026.SH,派克转债,0.3,0.1,0.45,0,40,178,5.923885470349608,9.513054026415384,-2.3256531645960017,0.6123595505617978,0.8258426966292135,111,5.027625936826705,False
111026.SH,派克转债,0.3,0.1,0.45,0,60,178,5.980505556088127,9.47479889806542,-2.2303759354214785,0.601123595505618,0.8314606741573034,111,5.219581649431811,False
111026.SH,派克转债,0.3,0.1,0.5,0,0,178,5.997583939740845,9.14518207481135,-1.4814167529959212,0.5449438202247191,0.8202247191011236,111,5.340304280127143,False
111026.SH,派克转债,0.3,0.1,0.5,0,20,178,5.873036193597042,9.342198978390165,-2.120609653228507,0.5955056179775281,0.797752808988764,111,5.113468713844227,False
111026.SH,派克转债,0.3,0.1,0.5,0,40,178,5.87197003882061,9.508048490944923,-2.2921087667271713,0.6123595505617978,0.8258426966292135,111,4.985454728466983,False
111026.SH,派克转债,0.3,0.1,0.5,0,60,178,5.91134138553106,9.464588821964997,-2.2084873921176515,0.6067415730337079,0.8314606741573034,111,5.152446618479374,False
111026.SH,派克转债,0.3,0.1,0.55,0,0,178,5.943618784109547,9.136455601357293,-1.4529198966855108,0.550561797752809,0.8033707865168539,111,5.30675626812143,False
111026.SH,派克转债,0.3,0.1,0.55,0,20,178,5.8275554759017485,9.340327976808176,-2.0976250683502298,0.6179775280898876,0.7865168539325843,111,5.081052183029426,False
111026.SH,派克转债,0.3,0.1,0.55,0,40,178,5.816053705135387,9.499686007509144,-2.267002707964812,0.6235955056179775,0.8314606741573034,111,4.933588954312098,False
111026.SH,派克转债,0.3,0.1,0.55,0,60,178,5.8464557303913045,9.455383077613767,-2.2038760481583095,0.6123595505617978,0.8314606741573034,111,5.082184677523915,False
111026.SH,派克转债,0.3,0.1,0.6,0,0,178,5.89209420334233,9.134052226743904,-1.4244230403750995,0.5617977528089888,0.8033707865168539,111,5.277121970762629,False
111026.SH,派克转债,0.3,0.1,0.6,0,20,178,5.783239798832054,9.342944929878744,-2.076282569053495,0.6235955056179775,0.7865168539325843,111,5.048276342146465,False
111026.SH,派克转债,0.3,0.1,0.6,0,40,178,5.766199231592121,9.502467736089555,-2.240405135998638,0.6348314606741573,0.8370786516853933,111,4.895520304590811,False
111026.SH,派克转债,0.3,0.1,0.6,0,60,178,5.789709395203323,9.451134052132034,-2.1926812991434623,0.6179775280898876,0.8370786516853933,111,5.0311085071397965,False
111026.SH,派克转债,0.3,0.1,0.65,0,0,178,5.84077564367883,9.137976940077468,-1.3959261840646886,0.5617977528089888,0.8033707865168539,111,5.247818049588159,False
111026.SH,派克转债,0.3,0.1,0.65,0,20,178,5.741882026185015,9.345597824063296,-2.050985477005006,0.6235955056179775,0.8033707865168539,111,5.017971113071579,False
111026.SH,派克转债,0.3,0.1,0.65,0,40,178,5.709050763324829,9.50487798019576,-2.218977582394386,0.651685393258427,0.8314606741573034,111,4.8502279917987945,False
111026.SH,派克转债,0.3,0.1,0.65,0,60,178,5.753725659373951,9.46617421403627,-2.187060033920338,0.6348314606741573,0.8314606741573034,111,4.998637530442922,False
111026.SH,派克转债,0.3,0.1,0.69,0,0,178,5.800582648340615,9.145667900784842,-1.37312869901636,0.5674157303370787,0.8089887640449438,111,5.22575698225111,False
111026.SH,派克转债,0.3,0.1,0.69,0,20,178,5.722060257394306,9.352640482786919,-2.038422384411437,0.6235955056179775,0.8146067415730337,111,5.0113716884731225,False
111026.SH,派克转债,0.3,0.1,0.69,0,40,178,5.676542676578732,9.50975069406519,-2.215450805991539,0.651685393258427,0.8370786516853933,111,4.828237737555516,False
111026.SH,派克转债,0.3,0.1,0.69,0,60,178,5.73837398611566,9.480849235413489,-2.1952057180262754,0.6404494382022472,0.8258426966292135,111,5.00205631074943,False
111026.SH,派克转债,0.3,0.1,0.7,0,0,178,5.790636720344745,9.14822159685039,-1.3674293277542777,0.5674157303370787,0.8089887640449438,111,5.220405797482488,False
111026.SH,派克转债,0.3,0.1,0.7,0,20,178,5.718044452483066,9.354957874959387,-2.034433283764203,0.6235955056179775,0.8202247191011236,111,5.011390932308565,False
111026.SH,派克转债,0.3,0.1,0.7,0,40,178,5.673311557300438,9.512145708858583,-2.2154225021334355,0.651685393258427,0.8370786516853933,111,4.828747644748935,False
111026.SH,派克转债,0.3,0.1,0.7,0,60,178,5.735600012939371,9.485070069899738,-2.1962933824385114,0.6404494382022472,0.8258426966292135,111,5.005199841764585,False
111026.SH,派克转债,0.3,0.1,0.75,0,0,178,5.754149640497251,9.164765003204515,-1.3389324714438684,0.5730337078651685,0.8089887640449438,111,5.214885690787736,False
111026.SH,派克转债,0.3,0.1,0.75,0,20,178,5.694143086576198,9.37435633531074,-2.008917562012348,0.6235955056179775,0.8146067415730337,111,5.017377728753942,False
111026.SH,派克转债,0.3,0.1,0.75,0,40,178,5.657056976567905,9.528881326238093,-2.208486866731002,0.651685393258427,0.8258426966292135,111,4.836401340657427,False
111026.SH,派克转债,0.3,0.1,0.75,0,60,178,5.702702454715645,9.498138816672629,-2.182783273590468,0.651685393258427,0.8258426966292135,111,4.997070696888427,False
111026.SH,派克转债,0.3,0.1,0.8,0,0,178,5.725701455526294,9.187573134078152,-1.3104356151334562,0.5955056179775281,0.8089887640449438,111,5.2222567848859995,False
111026.SH,派克转债,0.3,0.1,0.8,0,20,178,5.672129646296371,9.408024682330701,-1.9847313091177348,0.6348314606741573,0.8146067415730337,111,5.024902317061973,False
111026.SH,派克转债,0.3,0.1,0.8,0,40,178,5.636291718557403,9.546632253256465,-2.1842473113545946,0.6629213483146067,0.8258426966292135,111,4.837335665196942,False
111026.SH,派克转债,0.3,0.1,0.8,0,60,178,5.661902688231449,9.511365191746552,-2.1785362839033984,0.651685393258427,0.8258426966292135,111,4.964933588538196,False
111026.SH,派克转债,0.3,0.1,0.85,0,0,178,5.701569411843577,9.21659948003042,-1.281938758823046,0.5842696629213483,0.8089887640449438,111,5.236549258707745,False
111026.SH,派克转债,0.3,0.1,0.85,0,20,178,5.662073570934902,9.4528886072388,-1.9522276301758303,0.6404494382022472,0.8202247191011236,111,5.045703866684009,False
111026.SH,派克转债,0.3,0.1,0.85,0,40,178,5.621736114019371,9.569563011009668,-2.1481804659667776,0.6629213483146067,0.8146067415730337,111,4.855663641409376,False
